X	peak	count
1	32713829	0.7090520512968725
1	32717208	0.3851149588346814
1	32717330	0.04329297917869601
1	32717942	0.038736
1	32718198	0.011456
1	32718335	0.29122414161541155
1	32718965	0.082744
1	32718984	0.005927023882002975
1	32719240	0.0688056572318968
1	32720407	0.847362526533518
1	32731036	0.700084
1	32731385	0.89763314430746
1	32733071	0.9851015129614742
1	32774693	0.9728140193421877
1	32788234	0.9160225199582034
1	32819087	0.8656713705151283
1	32832827	0.9161876826775596
1	32839441	0.7337607061272586
1	32851206	0.9723485387547963
1	32856712	0.9605730303640859
1	32862061	0.3961396168113909
1	32873362	0.872415
1	32879138	0.902262133707788
1	32885666	0.9426609156725237
1	32887313	0.774684286244073
1	32899497	0.949158162082411
1	32903046	0.9685925419035384
1	32918906	0.9471402057574084
1	32943601	0.9170833403174278
1	32953080	0.8602812385623975
1	32959078	0.8777926951081573
1	32967374	0.9834216117851996
1	32974725	0.956649417026755
1	33008271	0.621384998349632
1	33015121	0.5288704511332785
1	33018830	0.9774071351088038
1	33019705	0.86592
1	33028727	0.8559121767547947
1	33067587	0.619986981416647
1	33067994	0.526864
1	33068013	0.7035200465146461
1	33068061	0.6012908349661948
1	33068070	0.6169175575726713
1	33068152	0.5163493972542258
1	33068284	0.5866064793293603
1	33068700	0.6544776125055337
1	33083564	0.9548624129520275
1	33092550	0.527689
1	33098627	0.9623905752159934
1	33105491	0.8659965388980595
1	33113910	0.49297455413471725
1	33126694	0.31043703654701893
1	33132551	0.7191623026426001
1	33180150	0.8528810689304637
1	33192188	0.8368028386330382
1	33194526	0.05968565346054844
1	33194736	0.028895
1	33194857	0.003692
1	33194919	0.011091
1	33195088	0.013857114842626807
1	33195430	0.4937729771386664
1	33197549	0.624802
1	33242781	0.5301607689840186
1	33279029	0.625530377447957
1	33294038	0.521160646639891
1	33305145	0.637098708676383
1	33308053	0.9886441239208393
1	33310557	0.08875229677953067
1	33310616	0.027422416900148357
1	33310620	0.02684026363098289
1	33310623	0.004573979347761096
1	33310825	0.015779601899770217
1	33310869	0.020775971278300505
1	33311111	0.017537
1	33311409	0.030432151313622313
1	33311682	0.01719523947551877
1	33311932	0.171835559718008
1	33314642	0.7072004555367414
1	33400611	0.9280531674946847
1	33507179	0.6167767203112742
1	33508119	0.9811648264094369
1	33581046	0.7968050563962893
1	33600457	0.8922026251988873
1	33723031	0.9633564685281746
1	33738828	0.9305238319120606
1	33835018	0.9365922636077246
1	33851639	0.9699093780043619
1	33852631	0.9753679914003592
1	33860770	0.9592039286760056
1	33866093	0.9136486142329306
1	33866566	0.662534332311921
1	33968232	0.7356754715413987
1	33968354	0.6320016424955297
1	33968518	0.6772590751045976
1	33968755	0.8252531476303853
1	33968774	0.8404366470907005
1	33968971	0.8765448355494557
1	34038387	0.01495768133989802
1	34038693	0.015289981235745147
1	34038997	0.02455
1	34039189	0.012354
1	34039313	0.026889
1	34039356	0.009517493305241183
1	34039687	0.23961904057429484
1	34040232	0.8844555402539535
1	34041333	0.969699
1	34056320	0.9674613432025141
1	34057051	0.9657341447347015
1	34063099	0.9510180592006088
1	34064335	0.7701567825173988
1	34097766	0.9584436534889031
1	34101511	0.007241864246884079
1	34101514	0.030607264922302146
1	34101758	0.016363840220350555
1	34101834	0.021111445251652622
1	34101913	0.022789
1	34101937	0.019657981362120578
1	34102017	0.012064083490888812
1	34102059	0.007889461769320287
1	34102062	0.01295722478579438
1	34102175	3.3256540371054297e-4
1	34103339	0.95737085722418
1	34103345	0.97688817228918
1	34104127	0.9493903917023856
1	34123385	0.9836515091447371
1	34199692	0.9886483902509084
1	34206048	0.8280284701343851
1	34207997	0.958862414634615
1	34209518	0.022543623201079735
1	34209703	0.051342
1	34210217	0.016302875358840768
1	34210234	0.01726143959286963
1	34210281	0.075657
1	34210293	0.103339
1	34210297	0.26706411155682663
1	34210324	0.021885126167805687
1	34210379	0.09369446653557068
1	34210590	0.9191264179453069
1	34210792	0.7662796155565872
1	34211290	0.90760980736848
1	34213870	0.8251143815051853
1	34224287	0.5250564538264758
1	34224439	0.35925578784685364
1	34224873	0.029151533912581518
1	34225038	0.012343
1	34225089	0.049364
1	34225119	0.02953172345454047
1	34225633	0.28867457295688637
1	34229960	0.9800062931631193
1	34239179	0.9671404990506913
0	32713829	0.5879243560403871
0	32717208	0.32538169502083547
0	32717330	0.0550761470923854
0	32717942	0.021094
0	32718198	0.00809
0	32718335	0.22173363611011415
0	32718965	0.055062
0	32718984	0.005375649472055304
0	32719240	0.0677538474090641
